Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.3778,-0.0037,-0.97%,203436992.00,Canada,,1090886,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.975,-0.055,-0.499%,0.00,United States,2002,55952,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.16,0.03,1.408%,2487704.00,United States,2007,139624,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.2603,-0.0097,-3.593%,6049372.00,,2023,95533,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$69.46,0.00,0.00%,8061944.00,United States,,31,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.48,-0.06,-3.896%,253471635.00,Canada,2021,279059,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$2.74,-0.03,-1.083%,528560396.00,,2021,524197,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$4.65,0.06,1.307%,1555102815.00,Canada,2003,2877435,Basic Materials,Precious Metals
NGD,New Gold Inc.,$2.15,-0.05,-2.273%,1474040000.00,Canada,,10129571,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$129.53,-1.72,-1.31%,1994726250.00,United States,1986,71391,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.95,-0.10,-1.242%,0.00,United States,,136277,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.98,-0.09,-1.115%,0.00,United States,2013,180673,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$2.49,0.11,4.622%,29416860.00,United States,,349308,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.49,-0.08,-2.241%,0.00,United States,2003,81581,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$3.23,0.11,3.526%,21472911.00,,2023,3564,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NTIP,Network-1 Technologies Inc. Common Stock,$1.59,-0.02,-1.242%,37229012.00,United States,,1898,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$7.21,-0.08,-1.097%,552192018.00,Canada,2022,168850,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.06,0.01,0.952%,4749535.00,United States,,24119,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.3491,0.0238,7.316%,20758733.00,United States,2007,6713787,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$3.80,-0.07,-1.809%,1209385906.00,,2020,378320,Basic Materials,Precious Metals
OZ,Belpointe PREP LLC Class A Units,$71.00,4.5025,6.771%,264950984.00,,,9950,Real Estate,Real Estate Investment Trusts
PAPL,Pineapple Financial Inc. Common Stock,$0.8965,0.0465,5.471%,6520617.00,,2023,138670,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$24.00,0.00,0.00%,,United States,,856,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$21.17,-0.08,-0.376%,,United States,,410,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.1999,0.05,0.261%,,United States,,1961,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$19.3171,0.4171,2.207%,,United States,,7418,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.58,0.00,0.00%,,United States,,885,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$17.8267,0.00,0.00%,,United States,,84,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$16.93,-0.12,-0.704%,,United States,,1352,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$16.42,0.00,0.00%,,United States,,51,,
PED,Pedevco Corp. Common Stock,$1.01,-0.01,-0.98%,90248820.00,United States,,32664,Energy,Oil & Gas Production
